team,method,first_rating,second_rating,difference,ratio,abs_ratio,rank
serbia,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,10
saudi_arabia,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,11
rwanda,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,12
philippines,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,13
peru,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,14
panama,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,15
pakistan,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,16
oman,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,17
new_zealand,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,18
netherlands,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,19
morocco,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,20
mongolia,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,21
mexico,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,22
kazakhstan,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,23
indonesia,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,24
india,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,25
iceland,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,26
guatemala,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,27
germany,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,28
france,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,29
ethiopia,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,30
china,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,31
vietnam,B-Score,0.12500000000000003,0.12500000000000003,0.0,1.0,1.0,32
guatemala,XG/60,2.820083960744708,2.071189105817898,0.7488948549268102,1.361577247013897,1.361577247013897,1
usa,XG/60,2.722278264133331,2.0021689417613566,0.7201093223719743,1.359664615383793,1.359664615383793,2
france,XG/60,2.5561740535606177,1.9044299405454912,0.6517441130151265,1.3422253027740394,1.3422253027740394,3
iceland,XG/60,2.5830943025100472,1.9624521884429613,0.6206421140670859,1.3162584636314185,1.3162584636314185,4
saudi_arabia,XG/60,2.246428451783832,1.6566458722575639,0.5897825795262681,1.3560100498258887,1.3560100498258887,5
singapore,XG/60,2.6333121491164593,2.099593655767861,0.5337184933485983,1.2542008506657483,1.2542008506657483,6
uae,XG/60,1.9959074896028017,1.4775729599993954,0.5183345296034063,1.350801309739465,1.350801309739465,7
new_zealand,XG/60,2.438277919711172,1.9789819272894928,0.45929599242167907,1.2320870070050374,1.2320870070050374,8
panama,XG/60,2.54386253176803,2.120725572990057,0.42313695877797297,1.199524617502199,1.199524617502199,9
peru,XG/60,2.3878706642948213,1.9866928218425017,0.4011778424523196,1.2019324970833984,1.2019324970833984,10
uk,XG/60,2.727710230818198,2.3315151803611767,0.3961950504570213,1.1699302898794106,1.1699302898794106,11
rwanda,XG/60,2.3350382191222128,1.9585542658438164,0.37648395327839634,1.1922254388576736,1.1922254388576736,12
india,XG/60,2.4312465311116243,2.0827669584873956,0.3484795726242287,1.1673156812883718,1.1673156812883718,13
serbia,XG/60,2.8221482723134654,2.519293353178678,0.30285491913478735,1.1202142333891625,1.1202142333891625,14
south_korea,XG/60,2.720591800648305,2.456031148366218,0.26456065228208736,1.107718769144307,1.107718769144307,15
netherlands,XG/60,2.132239452934179,1.932795251479704,0.19944420145447483,1.1031895133754002,1.1031895133754002,16
mexico,XG/60,2.571136888359926,2.41872458332553,0.15241230503439596,1.063013501448289,1.063013501448289,17
pakistan,XG/60,2.9916082150522256,2.8746678981191756,0.11694031693305007,1.0406795918963583,1.0406795918963583,18
china,XG/60,2.50567166581073,2.3928633944002824,0.11280827141044769,1.0471436320495515,1.0471436320495515,19
mongolia,XG/60,1.6455565311265123,1.572866510483501,0.07269002064301144,1.0462149967327274,1.0462149967327274,20
canada,XG/60,2.378456384662413,2.3455516207965585,0.03290476386585439,1.0140285822635955,1.0140285822635955,21
kazakhstan,XG/60,1.6719558260974468,1.6724229699311224,-0.0004671438336756317,0.9997206784156434,0.9997206784156434,22
philippines,XG/60,1.8463218568520579,1.8513505785602895,-0.005028721708231654,0.9972837550237825,0.9972837550237825,23
morocco,XG/60,2.3178270101343963,2.3275152955476237,-0.009688285413227415,0.9958374987130008,0.9958374987130008,24
oman,XG/60,2.485008916356713,2.513492804695958,-0.02848388833924531,0.988667606970655,0.988667606970655,25
brazil,XG/60,2.712113146389648,2.774205870236947,-0.06209272384729925,0.9776178384908414,0.9776178384908414,26
indonesia,XG/60,1.8087775774657169,1.8807691498740906,-0.07199157240837373,0.9617222706927147,0.9617222706927147,27
germany,XG/60,2.1785359859779767,2.2718037329828777,-0.09326774700490104,0.9589455085178329,0.9589455085178329,28
thailand,XG/60,2.8200782703192813,2.932727415415937,-0.1126491450966558,0.9615889480541173,0.9615889480541173,29
vietnam,XG/60,2.012631139050019,2.1440632421010593,-0.13143210305104036,0.9386995213246394,0.9386995213246394,30
switzerland,XG/60,1.7111616968376997,1.925619243745086,-0.2144575469073864,0.8886293084139035,0.8886293084139035,31
ethiopia,XG/60,2.2252075317705895,2.4641357986772325,-0.23892826690664304,0.9030377031026855,0.9030377031026855,32
uk,XG-Diff/60,0.6251073323302262,-0.48051854923611215,1.1056258815663385,1.3009015642038566,1.3009015642038566,1
new_zealand,XG-Diff/60,0.49710863969569347,-0.40685224228080713,0.9039608819765006,1.2218407275056675,1.2218407275056675,2
saudi_arabia,XG-Diff/60,0.1910802351879559,-0.6938640103997261,0.884944245587682,0.27538571294089315,0.27538571294089315,3
france,XG-Diff/60,0.248636318591855,-0.5930286415680476,0.8416649601599026,0.4192652785444344,0.4192652785444344,4
usa,XG-Diff/60,0.19932544934146307,-0.6404730069411132,0.8397984562825762,0.311216003143423,0.311216003143423,5
canada,XG-Diff/60,0.5131789650943676,-0.3095916148223007,0.8227705799166682,1.6575996910928026,1.6575996910928026,6
iceland,XG-Diff/60,0.3714042774826999,-0.4067037110745173,0.7781079885572172,0.9132060204256416,0.9132060204256416,7
mongolia,XG-Diff/60,-0.5987964239445324,-1.3764255357794555,0.7776291118349231,0.43503728198811725,0.43503728198811725,8
panama,XG-Diff/60,0.34421256159960445,-0.4306706170374363,0.7748831786370407,0.7992478427421567,0.7992478427421567,9
peru,XG-Diff/60,0.592160004662231,-0.17318029092972034,0.7653402955919513,3.4193267691329843,3.4193267691329843,10
indonesia,XG-Diff/60,-0.2663136103851975,-0.9825685960848697,0.7162549856996722,0.27103818649033495,0.27103818649033495,11
kazakhstan,XG-Diff/60,-0.2973071408678973,-0.9850724427681331,0.6877653019002359,0.30181246369296477,0.30181246369296477,12
brazil,XG-Diff/60,1.2056566434972764,0.5321483058337461,0.6735083376635304,2.2656402929035124,2.2656402929035124,13
uae,XG-Diff/60,-0.16174271166878337,-0.8341735193958216,0.6724308077270382,0.1938957637805753,0.1938957637805753,14
guatemala,XG-Diff/60,0.676945097946841,0.025365178241755243,0.6515799197050858,26.687969289822625,26.687969289822625,15
netherlands,XG-Diff/60,0.4246771226567707,-0.1652533458475067,0.5899304685042774,2.5698549126421706,2.5698549126421706,16
rwanda,XG-Diff/60,0.27435236086255477,-0.25427840324589374,0.5286307641084484,1.078944799717218,1.078944799717218,17
south_korea,XG-Diff/60,0.7276641683730422,0.2018095130847646,0.5258546552882776,3.605698052833647,3.605698052833647,18
oman,XG-Diff/60,0.42426366270054583,-0.09942700528303011,0.523690667983576,4.267086808989487,4.267086808989487,19
serbia,XG-Diff/60,0.3746547336548745,-0.13648524709489288,0.5111399807497674,2.745020004941572,2.745020004941572,20
philippines,XG-Diff/60,-0.2792835066138744,-0.712187440638594,0.43290393402471955,0.3921488791819335,0.3921488791819335,21
mexico,XG-Diff/60,0.7933916451918342,0.3687668482665441,0.42462479692529015,2.151472262003259,2.151472262003259,22
singapore,XG-Diff/60,-0.1519879559109299,-0.4293667306303004,0.2773787747193705,0.3539816782912246,0.3539816782912246,23
vietnam,XG-Diff/60,-0.19023585827955128,-0.4538946263504644,0.26365876807091315,0.41911899202055103,0.41911899202055103,24
morocco,XG-Diff/60,0.19948879865033653,-0.05295284572019469,0.25244164437053124,3.7672913690879746,3.7672913690879746,25
switzerland,XG-Diff/60,-0.11876748678958118,-0.36585813558066305,0.24709064879108186,0.3246271580132616,0.3246271580132616,26
india,XG-Diff/60,0.09847146092360522,-0.14761441525571245,0.24608587617931765,0.6670856687879914,0.6670856687879914,27
china,XG-Diff/60,0.48964947614303067,0.26180626146118935,0.22784321468184132,1.8702741233544455,1.8702741233544455,28
pakistan,XG-Diff/60,0.8778549528343709,0.8511549643459957,0.02669998848837518,1.0313691273702323,1.0313691273702323,29
germany,XG-Diff/60,-0.3855642426161432,-0.1862296332700023,-0.1993346093461409,2.070369982725244,2.070369982725244,30
ethiopia,XG-Diff/60,-0.3365174007829565,0.08594235245135165,-0.4224597532343082,-3.9156177505548833,3.9156177505548833,31
thailand,XG-Diff/60,0.6181755148573599,1.2178810032823817,-0.5997054884250218,0.5075828534900202,0.5075828534900202,32
